"timestamp","fac","hospital_name","failure_type","error_message","url","context"
"2026-03-03 11:16:01","724","MATTAWA GENERAL","no_pdf_found","No PDF located on top candidate page or in crawl results","https://www.mattawahealth.ca/Mattawa-Hospital/Strategic-Plan",""
"2026-03-03 11:16:23","824","Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL","no_pdf_found","No PDF located on top candidate page or in crawl results","https://www.ruralroadshealthservices.ca/about/strategic-plan",""
"2026-03-03 11:16:46","854","TORONTO SA GRACE","fetch_error","robots_disallowed","https://www.torontograce.org/wp-content/uploads/TGHC-Final-Strategic-Plan-2024-29.pdf",""
"2026-03-03 11:17:50","900","FORT FRANCES RIVERSIDE HEALTH CARE","no_pdf_found","No PDF located on top candidate page or in crawl results","https://riversidehealthcare.ca/aboutus",""
"2026-03-03 11:17:56","905","OAK VALLEY HEALTH","no_pdf_found","No PDF located on top candidate page or in crawl results","https://www.oakvalleyhealth.ca/about-us/2024-2029-strategic-plan",""
"2026-03-03 11:18:04","907","TIMMINS & DISTRICT GENERAL","fetch_error","pdf_too_large","https://tadh.com/wp-content/uploads/2024/08/2022-2027-strategic-plan.pdf",""
"2026-03-03 11:18:06","930","WRHN-KITCHENER GRAND RIVER","crawl_no_candidate","Crawler returned no scored candidates","https://www.grhosp.on.ca",""
"2026-03-03 11:18:31","958","OTTAWA THE OTTAWA HOSPITAL","crawl_no_candidate","Crawler returned no scored candidates","https://www.ottawahospital.on.ca",""
"2026-03-03 11:20:34","979","TORONTO SCARBOROUGH HEALTH NETWORK","no_pdf_found","No PDF located on top candidate page or in crawl results","https://www.shn.ca/about-us/strategic-plan-2018-23",""
